tempo_h,0_871,1_860,2_806,3_789,4_707,5_698,6_834,7_852,8_922,9_910
1970-01-01 00:00:00.000000000,870.83,860.45,806.25,788.56,706.8,697.79,833.72,852.3,922.28,910.13
1970-01-01 00:01:40.000000000,883.23,866.59,811.04,791.28,707.03,698.28,839.48,853.68,919.56,911.09
1970-01-01 00:03:20.000000001,881.93,868.0,815.72,797.91,706.6,703.59,841.88,850.48,916.25,900.21
1970-01-01 00:04:59.999999998,880.68,864.1,818.34,797.15,708.79,703.1,843.05,849.91,906.72,905.2
1970-01-01 00:06:39.999999999,878.2,871.0,816.71,798.47,701.81,705.24,838.57,847.9,910.55,901.15
1970-01-01 00:08:20.000000000,880.78,863.57,809.46,793.97,707.18,705.88,832.36,845.97,910.92,906.7
1970-01-01 00:10:00.000000001,874.16,862.12,813.71,799.38,705.93,708.7,836.23,849.55,914.88,907.03
1970-01-01 00:11:39.999999998,873.72,859.9,804.83,797.22,704.29,700.89,839.26,843.8,916.1,904.22
1970-01-01 00:13:19.999999999,881.77,852.88,808.78,801.15,702.92,707.09,832.81,845.8,907.28,904.25
1970-01-01 00:15:00.000000000,879.32,863.21,813.65,799.63,704.76,703.96,832.7,842.36,918.8,912.61
1970-01-01 00:16:40.000000000,871.74,858.29,817.38,800.1,704.67,704.74,843.07,841.91,916.1,908.73
1970-01-01 00:18:20.000000001,879.99,856.4,808.68,798.35,704.23,703.18,836.99,848.06,915.93,907.17
1970-01-01 00:19:59.999999998,876.86,859.79,812.37,796.09,704.5,702.81,831.82,842.6,916.25,903.48
1970-01-01 00:21:39.999999999,873.45,851.5,809.16,807.11,706.81,701.32,840.18,846.41,912.92,907.08
1970-01-01 00:23:20.000000000,879.19,853.78,813.75,795.02,711.79,698.08,831.56,848.52,911.92,907.81
1970-01-01 00:25:00.000000001,875.69,861.16,813.7,794.81,712.35,700.23,832.64,849.51,911.22,901.56
1970-01-01 00:26:39.999999998,880.23,861.52,812.8,800.5,713.33,700.94,834.52,845.44,913.13,906.23
1970-01-01 00:28:19.999999999,881.83,856.44,812.0,808.45,708.64,697.17,833.76,839.86,916.9,907.57
1970-01-01 00:30:00.000000000,872.45,865.96,813.72,809.24,715.57,699.43,834.43,844.53,907.25,908.83
1970-01-01 00:31:40.000000000,882.38,862.65,811.75,800.28,715.33,697.86,840.26,842.21,915.06,909.61
1970-01-01 00:33:20.000000001,882.78,861.52,809.62,802.75,707.8,695.54,839.88,845.2,914.12,910.11
1970-01-01 00:34:59.999999998,877.62,856.66,810.93,801.18,710.23,692.58,835.08,850.27,915.26,905.05
1970-01-01 00:36:39.999999999,876.72,859.74,810.97,799.54,708.52,690.19,835.93,848.22,916.81,912.28
1970-01-01 00:38:20.000000000,881.93,860.18,806.47,801.87,707.53,693.1,838.22,844.62,908.62,911.49
1970-01-01 00:40:00.000000001,884.43,859.38,813.36,802.21,713.36,696.91,833.2,839.47,914.65,912.04
1970-01-01 00:41:39.999999998,882.06,861.11,807.14,807.75,714.33,696.35,841.11,840.92,905.96,911.88
1970-01-01 00:43:19.999999999,892.19,868.17,814.99,805.07,710.67,697.48,830.35,840.52,909.02,910.16
1970-01-01 00:45:00.000000000,885.37,857.87,811.42,808.27,711.5,694.39,836.97,845.92,909.88,911.38
